repository,created_at,updated_at,size,num_stars,num_forks
humphd/have-fun-with-machine-learning,2016-12-29T17:43:50Z,2022-06-10T21:10:47Z,7878,4930,547
jason718/awesome-self-supervised-learning,2018-02-10T01:57:50Z,2022-06-12T14:36:52Z,226,4888,728
transcranial/keras-js,2016-09-30T14:40:35Z,2022-06-12T11:03:35Z,18004,4880,528
jonaswinkler/paperless-ng,2018-06-27T11:34:00Z,2022-06-12T13:19:06Z,19606,4827,348
deepset-ai/haystack,2019-11-14T09:05:28Z,2022-06-12T16:33:29Z,17625,4824,770
therealsreehari/Learn-Data-Science-For-Free,2021-01-27T13:02:06Z,2022-06-12T10:18:43Z,729,4816,488
fastai/course-v3,2018-10-11T19:41:45Z,2022-06-11T01:15:30Z,269411,4811,3643
tyiannak/pyAudioAnalysis,2014-08-27T12:43:13Z,2022-06-12T15:08:30Z,171813,4806,1092
probml/pyprobml,2016-08-17T16:42:24Z,2022-06-11T11:06:20Z,1581323,4796,1136
interpretml/interpret,2019-05-03T05:47:52Z,2022-06-12T16:45:24Z,9140,4780,598
khangich/machine-learning-interview,2020-08-11T06:26:32Z,2022-06-12T18:34:31Z,5445,4752,825
mdbloice/Augmentor,2016-03-01T18:29:55Z,2022-06-12T16:21:25Z,1531,4730,850
blei-lab/edward,2016-02-10T20:06:05Z,2022-06-11T18:46:34Z,29865,4709,780
amdegroot/ssd.pytorch,2017-02-08T01:50:36Z,2022-06-10T06:20:19Z,108865,4668,1713
apachecn/sklearn-doc-zh,2017-09-27T03:25:03Z,2022-06-12T13:55:23Z,63217,4657,1431
tensorspace-team/tensorspace,2018-07-22T14:14:29Z,2022-06-12T12:07:02Z,1157463,4643,414
XiaoMi/mace,2018-06-27T03:50:12Z,2022-06-12T08:01:15Z,32334,4623,806
activeloopai/Hub,2019-08-09T06:17:59Z,2022-06-12T10:54:43Z,59885,4610,383
jeffheaton/t81_558_deep_learning,2016-07-31T02:32:59Z,2022-06-12T10:27:58Z,248522,4603,2488
py-why/dowhy,2018-05-31T13:07:04Z,2022-06-12T20:13:35Z,40561,4597,658
